Latitude,Longitude,Date,Tué,Blessés hospitalisés,Blessés Légers
48.87567275931033,2.3195863367198717,2019-10-24,0,0,1
48.823715404,2.3649010062,2023-02-08,0,0,1
48.8529,2.38851,2017-06-13,0,0,1
48.830448,2.329134,2022-02-04,0,0,1
48.860579,2.34937,2022-01-16,0,0,1
48.835178,2.398772,2022-05-23,0,0,1
48.8826,2.31037,2017-12-21,0,0,1
48.88774,2.39802,2018-07-25,0,0,1
48.859563,2.329276,2020-09-22,0,0,1
48.8271,2.356985,2020-12-12,0,0,1
48.84149,2.30794,2022-10-21,0,0,1
48.852094,2.340315,2022-07-11,0,0,1
48.893967,2.321427,2023-10-04,0,0,1
48.855065,2.361682,2020-07-25,0,0,1
48.884887,2.359345,2020-07-04,0,0,1
48.8457,2.29138,2018-01-26,0,0,1
48.87095826629374,2.334159442813772,2019-07-28,0,0,1
48.857194,2.352381,2022-10-15,0,0,1
48.854322,2.262715,2022-06-02,0,0,1
48.822235,2.33039,2022-11-24,0,0,1
48.860984,2.314958,2021-03-20,0,0,1
48.865459,2.356123,2021-04-27,0,0,1
48.822839,2.327596,2021-11-04,0,0,1
48.834205,2.353656,2020-07-29,0,0,1
48.850493,2.406403,2020-05-28,0,0,1
48.84569016026657,2.345905065823022,2020-01-14,0,0,1
48.833882,2.308113,2020-12-13,0,0,1
48.861903,2.356934,2022-04-14,0,0,1
48.869876,2.354575,2022-11-17,0,0,1
48.845293,2.276037,2021-01-16,0,0,1
48.863961,2.27886,2022-10-27,0,0,1
48.872786,2.280393,2023-11-20,0,0,1
48.834062,2.454936,2023-11-25,0,0,1
48.86,2.35,2018-09-29,0,0,1
48.8728,2.35871,2018-09-13,0,0,1
48.83892,2.353238,2021-06-25,0,0,1
48.873159,2.375569,2020-09-28,0,0,1
48.890403,2.355827,2020-07-09,0,0,1
48.854636,2.362768,2020-06-09,0,0,1
48.863764,2.370116,2021-08-20,0,0,1
48.823387,2.375028,2021-09-10,0,0,1
48.864173698272964,2.3202051795486294,2021-09-12,0,0,1
48.856472,2.364354,2021-10-22,0,0,1
48.823005,2.326634,2023-04-11,0,0,1
48.86563899999999,2.37736,2019-09-24,0,0,1
48.862218,2.339184,2019-05-28,0,0,1
48.868402,2.379552,2019-04-25,0,0,1
48.864183,2.301561,2020-09-15,0,0,1
48.85342,2.367191,2020-07-21,0,0,1
48.869864,2.360715,2021-03-22,0,0,1
48.835891,2.405671,2021-04-25,0,0,1
48.872298,2.295283,2022-11-21,0,0,1
48.834114,2.443568,2019-09-20,0,0,1
48.862472,2.366889,2020-07-11,0,1,0
48.8574,2.38081,2017-05-22,0,0,1
48.88955457510687,2.3263469338417053,2022-04-13,0,0,1
48.863223,2.376061,2022-07-27,0,0,1
48.842168,2.285548,2022-06-26,0,0,1
48.863402,2.350951,2021-02-25,0,0,1
48.862945,2.317907,2022-06-11,0,0,1
48.8256,2.3136,2018-10-27,0,0,1
48.864985,2.290332,2020-07-06,0,0,1
48.818589,2.352493,2019-01-21,0,0,1
48.884298,2.355483,2021-11-29,0,0,1
48.82609,2.360118,2021-12-11,1,0,0
48.867344,2.363361,2023-07-01,0,0,1
48.862923,2.350697,2023-07-01,0,0,1
48.878537,2.354046,2022-10-26,0,0,1
48.839371,2.429964,2022-02-23,0,0,1
48.839988,2.394113,2020-05-12,0,0,1
48.888994,2.293361,2020-02-02,0,0,1
48.869286,2.309176,2021-06-17,0,0,1
48.86947,2.3529,2018-09-27,0,0,1
48.82,2.35,2018-11-16,0,0,1
48.8588,2.3846,2018-06-21,0,0,1
48.8301,2.34781,2018-06-23,0,0,1
48.84112,2.35263,2020-07-02,0,0,1
48.826945,2.3803010000000002,2019-02-12,0,0,1
48.823434,2.375058,2019-07-09,0,0,1
48.882288,2.299969,2020-11-11,0,0,1
48.861207,2.349718,2021-05-10,0,0,1
48.870849,2.306012,2022-03-23,0,0,1
48.868085,2.361453,2021-06-07,0,0,1
48.8642,2.32014,2017-06-15,0,0,1
48.864,2.37068,2017-07-09,0,0,1
48.848098,2.411125,2020-07-15,0,0,1
48.835071,2.360414,2020-06-15,0,0,1
48.857726,2.347787,2020-10-14,0,0,1
48.847915,2.327768,2019-04-30,0,0,1
48.865998,2.37068,2019-07-05,0,0,1
48.873399867,2.2957134247,2023-07-15,0,0,1
48.818883,2.359539,2023-07-10,0,0,1
48.862721703,2.335246861,2023-10-05,0,0,1
48.876146,2.318274,2023-12-15,0,0,1
48.89268,2.340084,2021-09-09,0,0,1
48.850354,2.342624,2021-11-17,0,0,1
48.862286,2.238303,2021-12-02,0,0,1
